id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,lat,lon,tweet_created,tweet_location,user_timezone
1,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,cairdin,-118.385912,0,@VirginAmerica What @dhepburn said.,40.74804263,-118.385912,2/24/2015 11:35,-118.385912,Eastern Time (US & Canada)
2,positive,0.3486,-118.385912,0,Virgin America,-118.385912,jnardino,-118.385912,0,@VirginAmerica plus you've added commercials to the experience... tacky.,40.74804263,-118.385912,2/24/2015 11:15,-118.385912,Pacific Time (US & Canada)
3,neutral,0.6837,-118.385912,-118.385912,Virgin America,-118.385912,yvonnalynn,-118.385912,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,40.74804263,-118.385912,2/24/2015 11:15,Lets Play,Central Time (US & Canada)
4,negative,1,Bad Flight,0.7033,Virgin America,-118.385912,jnardino,-118.385912,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",40.74804263,-118.385912,2/24/2015 11:15,-118.385912,Pacific Time (US & Canada)
5,negative,1,Can't Tell,1,Virgin America,-118.385912,jnardino,-118.385912,0,@VirginAmerica and it's a really big bad thing about it,40.74804263,-118.385912,2/24/2015 11:14,-118.385912,Pacific Time (US & Canada)
6,negative,1,Can't Tell,0.6842,Virgin America,-118.385912,jnardino,-118.385912,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",40.74804263,-118.385912,2/24/2015 11:14,-118.385912,Pacific Time (US & Canada)
7,positive,0.6745,-118.385912,0,Virgin America,-118.385912,cjmcginnis,-118.385912,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",40.74804263,-118.385912,2/24/2015 11:13,San Francisco CA,Pacific Time (US & Canada)
8,neutral,0.634,-118.385912,-118.385912,Virgin America,-118.385912,pilot,-118.385912,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",40.74804263,-118.385912,2/24/2015 11:12,Los Angeles,Pacific Time (US & Canada)
9,positive,0.6559,-118.385912,-118.385912,Virgin America,-118.385912,dhepburn,-118.385912,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",40.74804263,-118.385912,2/24/2015 11:11,San Diego,Pacific Time (US & Canada)
10,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,YupitsTate,-118.385912,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",40.74804263,-118.385912,2/24/2015 10:53,Los Angeles,Eastern Time (US & Canada)
11,neutral,0.6769,-118.385912,0,Virgin America,-118.385912,idk_but_youtube,-118.385912,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,40.74804263,-118.385912,2/24/2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
12,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,HyperCamiLax,-118.385912,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,40.74804263,-118.385912,2/24/2015 10:30,NYC,America/New_York
13,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,HyperCamiLax,-118.385912,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,40.74804263,-118.385912,2/24/2015 10:30,NYC,America/New_York
14,positive,0.6451,-118.385912,-118.385912,Virgin America,-118.385912,mollanderson,-118.385912,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,40.74804263,-118.385912,2/24/2015 10:21,-118.385912,Eastern Time (US & Canada)
15,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,sjespers,-118.385912,0,@VirginAmerica Thanks!,40.74804263,-118.385912,2/24/2015 10:15,"San Francisco, CA",Pacific Time (US & Canada)
16,negative,0.6842,Late Flight,0.3684,Virgin America,-118.385912,smartwatermelon,-118.385912,0,@VirginAmerica SFO-PDX schedule is still MIA.,40.74804263,-118.385912,2/24/2015 10:01,"palo alto, ca",Pacific Time (US & Canada)
17,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,ItzBrianHunty,-118.385912,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,40.74804263,-118.385912,2/24/2015 9:42,west covina,Pacific Time (US & Canada)
18,negative,1,Bad Flight,1,Virgin America,-118.385912,heatherovieda,-118.385912,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,40.74804263,-118.385912,2/24/2015 9:39,this place called NYC,Eastern Time (US & Canada)
19,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,thebrandiray,-118.385912,0,I ❤️ flying @VirginAmerica. ☺️👍,40.74804263,-118.385912,2/24/2015 9:15,Somewhere celebrating life. ,Atlantic Time (Canada)
20,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,JNLpierce,-118.385912,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,40.74804263,-118.385912,2/24/2015 9:04,Boston | Waltham,Quito
21,negative,0.6705,Can't Tell,0.3614,Virgin America,-118.385912,MISSGJ,-118.385912,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,40.74804263,-118.385912,2/24/2015 8:55,-118.385912,-118.385912
22,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,DT_Les,-118.385912,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,40.74804263,-73.99295302,2/24/2015 8:49,-118.385912,-118.385912
23,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,ElvinaBeck,-118.385912,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,40.74804263,-118.385912,2/24/2015 8:30,Los Angeles,Pacific Time (US & Canada)
24,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,rjlynch21086,-118.385912,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,40.74804263,-118.385912,2/24/2015 8:27,"Boston, MA ",Eastern Time (US & Canada)
25,negative,1,Customer Service Issue,0.3557,Virgin America,-118.385912,ayeevickiee,-118.385912,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,40.74804263,-118.385912,2/24/2015 8:18,714,Mountain Time (US & Canada)
26,negative,1,Customer Service Issue,1,Virgin America,-118.385912,Leora13,-118.385912,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,40.74804263,-118.385912,2/24/2015 7:49,-118.385912,-118.385912
27,negative,1,Can't Tell,0.6614,Virgin America,-118.385912,meredithjlynn,-118.385912,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,40.74804263,-118.385912,2/24/2015 7:11,-118.385912,-118.385912
28,neutral,0.6854,-118.385912,-118.385912,Virgin America,-118.385912,AdamSinger,-118.385912,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,40.74804263,-118.385912,2/24/2015 5:44,"San Francisco, CA",Central Time (US & Canada)
29,negative,1,Bad Flight,1,Virgin America,-118.385912,blackjackpro911,-118.385912,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,42.361016,-71.02000488,2/24/2015 5:05,"San Mateo, CA & Las Vegas, NV",-118.385912
30,neutral,0.615,-118.385912,0,Virgin America,-118.385912,TenantsUpstairs,-118.385912,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,33.94540417,-118.4062472,2/23/2015 23:34,Brooklyn,Atlantic Time (Canada)
31,negative,1,Flight Booking Problems,1,Virgin America,-118.385912,jordanpichler,-118.385912,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",40.74804263,-118.385912,2/23/2015 22:52,-118.385912,Vienna
32,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,JCervantezzz,-118.385912,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,40.74804263,-118.385912,2/23/2015 21:35,"California, San Francisco",Pacific Time (US & Canada)
33,negative,1,Customer Service Issue,1,Virgin America,-118.385912,Cuschoolie1,-118.385912,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",33.94209449,-118.404101,2/23/2015 21:10,Washington DC,Quito
34,negative,1,Customer Service Issue,1,Virgin America,-118.385912,amanduhmccarty,-118.385912,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",40.74804263,-118.385912,2/23/2015 20:55,-118.385912,Pacific Time (US & Canada)
35,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,NorthTxHomeTeam,-118.385912,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,33.2145038,-96.9321504,2/23/2015 20:24,Texas,Central Time (US & Canada)
36,neutral,0.6207,-118.385912,-118.385912,Virgin America,-118.385912,miaerolinea,-118.385912,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,40.74804263,-118.385912,2/23/2015 18:46,Worldwide,Caracas
37,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,Nicsplace,-118.385912,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,40.74804263,-118.385912,2/23/2015 18:43,Central Texas,-118.385912
38,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,Nicsplace,-118.385912,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",40.74804263,-118.385912,2/23/2015 18:19,Central Texas,-118.385912
39,neutral,0.6791,-118.385912,0,Virgin America,-118.385912,elisha_malulani,-118.385912,0,@VirginAmerica when can I book my flight to Hawaii??,40.74804263,-118.385912,2/23/2015 17:54,i'm creating a monster ,Pacific Time (US & Canada)
40,negative,1,Customer Service Issue,1,Virgin America,-118.385912,DannyDouglass,-118.385912,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,40.74804263,-118.385912,2/23/2015 17:41,"San Francisco, CA",Pacific Time (US & Canada)
41,positive,0.6639,-118.385912,-118.385912,Virgin America,-118.385912,jamesferrandini,-118.385912,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",40.74804263,-118.385912,2/23/2015 17:32,-118.385912,-118.385912
42,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,-118.385912,will_lenzenjr,-118.385912,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",40.74804263,-118.385912,2/23/2015 17:00,Iowa City,Central Time (US & Canada)
43,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,GottAmanda,-118.385912,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,34.0219817,-118.385912,2/23/2015 16:24,Los Angeles,-118.385912
44,neutral,0.6578,-118.385912,0,Virgin America,-118.385912,KGervaise,-118.385912,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,40.74804263,-118.385912,2/23/2015 16:20,Georgia,Pacific Time (US & Canada)
45,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,papamurat,-118.385912,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,40.74804263,-118.385912,2/23/2015 16:13,-118.385912,-118.385912
46,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,arieldaie,-118.385912,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,40.74804263,-118.385912,2/23/2015 16:08,Los Angeles,-118.385912
47,neutral,0.6799,-118.385912,-118.385912,Virgin America,-118.385912,vacations7,-118.385912,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,40.74804263,-118.385912,2/23/2015 16:04,Turks and caicos,-118.385912
48,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,ChelseaPoe666,-118.385912,0,@VirginAmerica wow this just blew my mind,40.74804263,-118.385912,2/23/2015 16:01,Oakland via Midwest ,Atlantic Time (Canada)
49,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,BobGlavinVO,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,40.74804263,-118.385912,2/23/2015 16:01,"New York, NY",Eastern Time (US & Canada)
50,neutral,0.6436,-118.385912,-118.385912,Virgin America,-118.385912,lisaaiko,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,40.74804263,-118.385912,2/23/2015 15:58,-118.385912,-118.385912
51,neutral,0.6764,-118.385912,0,Virgin America,-118.385912,grantbrowne,-118.385912,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",40.74804263,-118.385912,2/23/2015 15:55,Worldwide,Central Time (US & Canada)
52,positive,0.657,-118.385912,-118.385912,Virgin America,-118.385912,joyabsalon,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,40.74804263,-118.385912,2/23/2015 15:46,Northern Virginia,Eastern Time (US & Canada)
53,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,2v,-118.385912,0,@VirginAmerica wish you flew out of Atlanta... Soon?,40.74804263,-118.385912,2/23/2015 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada)
54,neutral,0.7118,-118.385912,0,Virgin America,-118.385912,KSmithFoundHere,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,40.74804263,-118.385912,2/23/2015 15:24,-118.385912,Atlantic Time (Canada)
55,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,papamurat,-118.385912,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,40.74804263,-118.385912,2/23/2015 15:19,-118.385912,-118.385912
